Station Name,State name,District / Town,Basin Name,River Name,Latitude,longitude,Division Name,Type Of Site
A.P.PURAM,Tamil Nadu,Tirunelveli,East flowing rivers between Pennar and Kanyakumari,Chittar,8.901388888888889,77.64861111111112,"Southern River Division(SRD), Coimbatore",Base
MADAMON,Kerala,PATHANAMTHITTA,West flowing rivers from Tapi to Tadri,Pamba,9.363888888888889,76.83777777777777,"Southern Western River Division(SWRD), Kochi",Base
Thethetanger,Chhattisgarh,JASHPUR,Mahanadi,Ib,22.646666666666665,83.93361111111112,"Mahanadi Division(MD), Burla",Base
Chouldhowaghat,Assam,LAKHIMPUR,Brahmaputra,Subansiri,27.448888888888888,94.25,"Upper Brahmaputra Division (UBD), Dibrugarh",Level
Targaon,Maharashtra,Satara,Krishna,Krishna,17.517777777777777,74.14611111111111,"Upper Krishna Division(UKD), Pune",Base
MADIKHERA(ATAL SAGAR) DAM,Madhya Pradesh,SHIVPURI,Ganga,Sindh,25.555555555555557,77.85277777777777,"Lower Yamuna Division(LYD), Agra",Inflow
BEHMAI,Uttar Pradesh,KANPUR DEHAT,Ganga,Yamuna,26.254166666666666,79.59638888888888,"Lower Yamuna Division(LYD), Agra",Base
VIJAYRAGHAVGARH,Madhya Pradesh,KATNI,Ganga,Katni,23.969166666666666,80.6125,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,Indus,Lidder,33.90416666666667,75.28238888888889,"Chenab Division(CD), Jammu",Base
Gulabgarh,Jammu & Kashmir,KISHTWAR,Indus,Chenab,33.26305555555555,76.17611111111111,"Chenab Division(CD), Jammu",Base
Dhansa,Delhi,SOUTH WEST,Ganga,Sahibi,28.534444444444446,76.87055555555555,"Upper Yamuna Division(UYD), New Delhi",Level
Watrak Dam,Gujarat,Sabarkantha,Sabarmati,Watrak,23.31833333333333,73.40611111111112,"Executive Engineer, Mahi Divison, Gandhinagar",Base
RUPAS NAGAR,Uttar Pradesh,FIROZABAD,Ganga,Sirsa,27.121666666666666,78.53277777777778,"Lower Yamuna Division(LYD), Agra",Base
Galeta,Uttar Pradesh,BAGHPAT,Ganga,Hindon,29.0825,77.43722222222223,"Upper Yamuna Division(UYD), New Delhi",Base
Kharkhana,Meghalaya,West Jaintia Hills,Barak and Others,Myntudu,25.158055555555553,92.21083333333334,"Meghna Investigation Division(MID), Shillong",Base
Sangam,Jammu & Kashmir,ANANTNAG,Indus,Jhelum,33.83305555555556,75.06672222222223,"Chenab Division(CD), Jammu",Level
Nowrangpur,Odisha,Nabarangapur,Godavari,Indravathi,19.1975,82.51194444444444,"Lower Godavari Division(LGD), Hyderabad",Base
Pancheshwar,Uttarakhand,Champawat,Ganga,Sarda,29.438055555555557,80.24583333333334,"Middle Ganga Division-I(MGD-I), Lucknow",Base
BILIGUNDULU,Tamil Nadu,Dharmapuri,Cauvery,Cauvery,12.182222222222222,77.7238888888889,"Southern River Division(SRD), Coimbatore",Base
Gomukhi Dam,Tamil Nadu,Viluppuram,East flowing rivers between Pennar and Kanyakumari,Gomukha,11.77888888888889,78.83027777777778,"Hydrology Division(HD),Chennai",Inflow
SRINGERI,Karnataka,Chikkamagaluru,Krishna,Tunga,13.429444444444444,75.25861111111111,"Cauvery Division, Bangaluru",Base
Sei Dam,Rajasthan,UDAIPUR,Sabarmati,Sei,24.718888888888888,73.19833333333334,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Sriram Sagar Reservoir,Telangana,NIZAMABAD,Godavari,Godavari,18.97,78.33999999999999,"Upper Godavari Division(UGD), Hyderabad",Inflow
Ramnagar Barrage D/S,Uttarakhand,Nainital,Ganga,Kosi,29.15861111111111,79.03888888888889,"Middle Ganga Division-II(MGD-II), Lucknow",Base
Barnawa,Uttar Pradesh,BAGHPAT,Ganga,Krishni,29.1075,77.42194444444445,"Upper Yamuna Division(UYD), New Delhi",Base
